"SupplierID","Supplier","AddressType","AddressLine1","AddressLine2","City","StateCode","PostalCode","CountryCode","PhoneNumber","ActiveFlag","CreatedDate","CreatedBy"
-1000017202,Victory Bikes,Main Office,"3459 Tri-state Ave",,Issaquah,WA ,"98027",US,"193-555-0100",1,2018-07-02,chris0
-1000059323,Norstan Bike Hut,Main Office,"68 Filling Ave.",,Beaverton,OR ,"97005",US,"944-555-0100",1,2017-11-13,chris0
"100006390",Bloomington Multisport,Main Office,"218 Fall Creek Road",,West Covina,CA ,"91791",US,"172-555-0100",1,2017-03-19,chris0
"1000101683",Bloomington Multisport,Main Office,"218 Fall Creek Road",,West Covina,CA ,"91791",US,"172-555-0100",1,2018-06-01,chris0
-1000113928,Image Makers Bike Center,Main Office,"3195 RiverRock Dr.",,Burlingame,CA ,"94010",US,"110-555-0100",1,2018-05-01,chris0
-1000164878,A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2018-05-02,chris0
"1000190018","Trikes, Inc.",Main Office,"90 Sunny Ave",,Berkeley,CA ,"94704",US,"315-555-0100",1,2020-09-07,chris0
-1000225451,Business Equipment Center,Main Office,"6061 St. Paul Way",,Everett,MT ,"98201",US,"183-555-0100",1,2017-09-15,chris0
-1000247844,Continental Pro Cycles,Main Office,"2 Lion Circle",,Long Beach,CA ,"90802",US,"718-555-0100",1,2018-10-08,chris0
"1000340791",G & K Bicycle Corp.,Main Office,"8981 Carmel Drive",,W. Linn,NV ,"89701",US,"235-555-0100",1,2021-01-20,chris0
-1000345929,International,Main Office,"683 Larch Ct.",,Salt Lake City,UT ,"84101",US,"432-555-0100",1,2022-06-14,chris0
-100034735,Indiana Bicycle Center,Main Office,"9620 Laurel Drive",,Novato,WY ,"82070",US,"153-555-0100",1,2020-11-07,chris0
-1000392774,A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2019-09-07,chris0
"1000423541",Superior Bicycles,Main Office,"87 S. Rising Ave",,Lynnwood,WA ,"98036",Ca,"472-555-0100",1,2021-11-25,chris0
-1000442427,A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2019-12-20,chris0
"1000459815",Ready Rentals,Main Office,"35 Buckthorn Court",# 1,Kirkland,WA ,"98033",Ca,"198-555-0100",1,2019-05-24,chris0
-1000532856,A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2021-01-27,chris0
-1000549292,Norstan Bike Hut,Main Office,,"68 Filling Ave.",Beaverton,OR ,"97005",US,"944-555-0100",1,2018-01-27,chris0
"1000599516",A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2019-09-10,chris0
-1000675398,Continental Pro Cycles,Main Office,"2 Lion Circle",,Long Beach,CA ,"90802",US,"718-555-0100",1,2020-09-09,chris0
-100067614,Crowley Sport,Main Office,"9056 Mount Dr",,Chicago,IL ,"60610",US,"141-555-0100",1,2018-06-04,chris0
-1000718339,Touring Equipment Center,Main Office,,"3681 South St.",St. Louis,MO ,"63103",Ca,"124-555-0100",1,2017-05-21,chris0
"1000790033",Sports House,Main Office,"2014 Delta Road",,Burien,WA ,"98168",US,"55-2555-0100",1,2021-10-23,chris0
-1000917105,Superior Bicycles,Main Office,"87 S. Rising Ave",,Lynnwood,WA ,"98036",Ca,"472-555-0100",1,2021-03-29,chris0
"1000980239",Vista Road Bikes,Main Office,"8197 Hermosa",,Salem,OR ,"97301",Ca,"134-555-0100",1,2019-08-24,chris0
"1001030484",Touring Equipment Center,Main Office,"3681 South St.",,St. Louis,MO ,"63103",Ca,"124-555-0100",1,2021-10-03,chris0
-1001097393,Anderson's Custom Bikes,Main Office,,"9 Guadalupe Dr.",Burbank,CA ,"91502",US,"232-555-0100",1,2020-11-25,chris0
-1001264665,A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2020-09-18,chris0
-1001283163,Sports House,Main Office,"2014 Delta Road",,Burien,WA ,"98168",US,"55-2555-0100",1,2018-01-06,chris0
"1001323014",Signature Cycles,Main Office,"50 Kim Court",,Coronado,CA ,"92118",US,"724-555-0100",1,2018-11-14,chris0
"100138530",A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2018-09-18,chris0
"1001391710",International Bicycles,Main Office,"20 Rambling Rose Ave.",# 103,West Covina,CA ,"91791",US,"176-555-0100",1,2018-09-02,chris0
-1001396982,A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2018-11-09,chris0
"1001419439",Crowley Sport,Main Office,,"9056 Mount Dr",Chicago,IL ,"60610",US,"141-555-0100",1,2018-04-29,chris0
-1001422349,A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2022-02-20,chris0
"1001444562",A. Datum Corporation,Main Office,"2596 Big Canyon Road",,New York,NY ,"10007",US,"870-555-0100",1,2018-12-26,chris0
